driverStandingsId,raceId,driverId,points,position,wins,year
69560,1023,846,25.0,14,0,2019
69561,1023,815,27.0,13,0,2019
69562,1023,848,34.0,9,0,2019
69563,1023,841,3.0,18,0,2019
69564,1023,847,0.0,20,0,2019
69565,1023,9,1.0,19,0,2019
69566,1023,154,8.0,17,0,2019
69567,1023,817,34.0,8,0,2019
69568,1023,832,58.0,7,0,2019
69569,1024,822,231.0,2,2,2019
69570,1024,1,296.0,1,8,2019
69571,1024,830,200.0,4,2,2019
69572,1024,20,194.0,5,1,2019
69573,1024,844,200.0,3,2,2019
69574,1024,825,18.0,16,0,2019
69575,1024,807,33.0,11,0,2019
69576,1024,8,31.0,13,0,2019
69577,1024,840,19.0,15,0,2019
69578,1024,826,33.0,10,0,2019
69579,1024,842,69.0,6,0,2019
69580,1024,846,31.0,12,0,2019
69581,1024,815,27.0,14,0,2019
69582,1024,848,42.0,8,0,2019
69583,1024,841,4.0,18,0,2019
69584,1024,847,0.0,20,0,2019
69585,1024,9,1.0,19,0,2019
69586,1024,154,8.0,17,0,2019
69587,1024,817,34.0,9,0,2019
69588,1024,832,58.0,7,0,2019
69589,1025,822,249.0,2,2,2019
69590,1025,1,322.0,1,9,2019
69591,1025,830,212.0,4,2,2019
69592,1025,20,194.0,5,1,2019
69593,1025,844,215.0,3,2,2019
69594,1025,825,20.0,15,0,2019
69595,1025,807,34.0,11,0,2019
69596,1025,8,31.0,14,0,2019
69597,1025,840,19.0,16,0,2019
69598,1025,826,33.0,12,0,2019
69599,1025,842,69.0,6,0,2019
69600,1025,846,35.0,9,0,2019
69601,1025,815,33.0,13,0,2019
69602,1025,848,52.0,8,0,2019
69603,1025,841,4.0,18,0,2019
69604,1025,847,0.0,20,0,2019
69605,1025,9,1.0,19,0,2019
69606,1025,154,8.0,17,0,2019
69607,1025,817,34.0,10,0,2019
69608,1025,832,66.0,7,0,2019
69668,1026,832,76.0,6,0,2019
